net,length_um
net7,267.845
net11,220.64
net8,204.9
net6,200.44
net5,195.82
net13,191.26
net12,177.46
net10,171.52
net22,171.42
net4,161.4
net17,159.14
net32,152.08
net24,151.28
net16,147.6
net1,147.42
_173_,145.685
net31,139
_170_,136.39
net14,128.96
net30,126.92
clk,120.1
net9,118.86
net21,113.36
net33,111.68
net20,111.46
net3,110.3
_172_,109.915
_202_,107.19
net15,106.76
net18,106.54
net29,105.64
net37,103.86
_168_,102.24
net35,101.48
net26,97.2
net36,95.42
net34,94.02
clknet_1_1__leaf_clk,93.18
_171_,92.68
net2,89.44
net19,85.52
_204_,85.09
net28,83.44
_176_,83.14
_208_,78.22
_206_,75.6
net25,68.2
_205_,56.74
_100_,54.105
clknet_1_0__leaf_clk,49.3
net23,48.16
_203_,41.56
_138_,40.81
net27,39.52
_169_,34.2
_103_,29.7
_014_,29.2
_211_,29.04
_091_,27.36
_195_,26.44
_073_,25.62
_116_,24.21
clknet_0_clk,24.13
_088_,24.02
_108_,22.7
_104_,20.9
_112_,20.86
_139_,19.5
_036_,19.46
_095_,19.36
_216_,19.16
_061_,18.84
_046_,18.34
_048_,18.3
_121_,18.255
_141_,18.16
_027_,18.05
_136_,17.81
_015_,17.52
_067_,17.3
_060_,17.2
_033_,17.04
_114_,16.82
_129_,16.54
_029_,16.36
_096_,16.02
_035_,15.98
_070_,15.64
_081_,15.62
_018_,15.36
scale[1],15.16
_063_,15.1
_210_,15.02
_151_,14.92
threshold[3],14.56
_115_,14.395
_030_,14.04
_087_,13.94
_124_,13.9
_034_,13.84
_106_,13.815
_013_,13.66
_031_,13.46
_132_,13.46
_075_,13.42
_083_,13.4
_113_,13.34
_086_,13.3
_078_,13.24
_182_,13.02
_122_,12.98
int4_out[2],12.62
_028_,12.42
_038_,12.22
valid_in,12.21
_062_,12.2
_218_,12.095
_074_,12.08
_041_,12.04
_093_,11.96
_079_,11.94
_109_,11.81
_126_,11.6
data_in[2],11.34
_158_,11.28
sideband_out[3],11.24
data_in[6],11.02
data_in[3],10.88
data_in[4],10.88
data_in[5],10.88
_207_,10.82
_076_,10.64
_047_,10.58
_052_,10.42
scale[2],10.42
threshold[4],10.42
threshold[5],10.42
_017_,10.38
_024_,10.38
_055_,10.2
_084_,10.16
_044_,9.96
_072_,9.68
threshold[6],9.64
_077_,9.62
_145_,9.54
_059_,9.5
net41,9.48
_068_,9.38
_020_,9.3
_177_,9.16
_092_,9.14
_050_,9.12
_144_,9.1
_080_,9.04
_179_,9.04
_110_,8.98
sideband_out[2],8.96
_058_,8.94
_049_,8.88
_149_,8.86
_127_,8.8
data_in[7],8.72
threshold[1],8.72
_097_,8.54
_000_,8.52
_042_,8.44
_054_,8.38
_190_,8.36
_213_,8.36
_187_,8.34
_082_,8.32
_123_,8.14
_039_,8.07
_045_,7.98
_053_,7.98
_056_,7.9
_071_,7.86
_184_,7.78
_174_,7.74
_200_,7.74
_161_,7.66
_090_,7.64
_162_,7.64
_064_,7.58
sideband_out[0],7.58
sideband_out[5],7.58
sideband_out[6],7.58
_157_,7.56
_134_,7.54
_105_,7.42
_001_,7.4
_217_,7.4
_175_,7.38
_026_,7.18
_089_,7.18
net38,7.06
net42,7
_032_,6.94
_154_,6.78
_146_,6.76
_152_,6.76
_185_,6.52
_066_,6.48
int4_out[3],6.43
_131_,6.3
_214_,6.28
_003_,6.26
_098_,6.2
_085_,6.18
_094_,6.08
_193_,6.06
_065_,6.04
scale[0],5.97
scale[3],5.97
threshold[0],5.97
_140_,5.84
_197_,5.8
_180_,5.72
_019_,5.68
_051_,5.68
_119_,5.68
int4_out[0],5.63
_137_,5.6
_069_,5.48
_150_,5.46
data_in[0],5.41
data_in[1],5.41
_057_,5.38
_160_,5.38
_133_,5.29
_021_,5.22
_148_,5.22
_199_,5.22
int4_out[1],5.07
is_outlier,5.07
sideband_out[1],5.07
valid_out,5.07
_209_,4.9
_166_,4.88
_023_,4.8
_043_,4.8
sideband_out[7],4.73
threshold[7],4.73
_099_,4.68
threshold[2],4.61
_111_,4.58
_010_,4.54
_011_,4.46
_167_,4.46
_016_,4.44
_025_,4.44
net40,4.42
sideband_out[4],4.39
_147_,4.34
_022_,4.32
rst_n,4.27
_194_,4.12
_120_,3.98
_198_,3.88
_002_,3.76
_159_,3.68
_005_,3.54
_101_,3.42
_189_,3.42
_142_,3.09
_009_,3.08
_125_,2.96
_156_,2.76
_006_,2.64
_118_,2.64
_178_,2.62
_181_,2.62
_143_,2.5
_201_,2.5
_117_,2.3
_192_,2.3
_135_,2.18
_004_,2.16
_040_,2.16
_007_,2.04
_212_,2.04
_215_,2.04
_012_,1.84
_128_,1.84
_008_,1.82
_191_,1.82
_130_,1.7
_153_,1.7
_183_,1.7
_186_,1.7
_188_,1.7
_107_,1.6
_102_,1.38
net39,1.38
_037_,1.14
_163_,0.92
_164_,0.92
_165_,0.92
_155_,0.8
_196_,0.46
