net,length_um
net18,2083.44
net68,2045.95
net101,1996
net790,1898.5
net112,1847.91
net81,1788.92
net134,1767.39
net54,1756.875
net41,1756.51
net70,1743.66
net69,1704.345
_36677_,1621.085
_15699_,1617.27
net71,1597.64
_15703_,1557.64
_15711_,1542.15
_15483_,1534.36
_15485_,1532.62
_15050_,1510.71
_15701_,1510.33
net38,1506.71
_15058_,1500.41
net77,1495.07
net15,1492.03
net11,1490.26
_15693_,1489.91
_15707_,1487.425
net78,1475.1
_14620_,1464.215
net63,1454.55
_15713_,1447.71
_15048_,1439.44
_14787_,1437.44
_15489_,1437.44
net170,1430.38
net91,1424.57
net17,1409.84
_14955_,1408.99
_14592_,1408.16
_13542_,1406.57
net52,1404.095
_15056_,1394.095
_15479_,1387.425
_15052_,1378.72
_14949_,1378.32
net165,1373.82
_15697_,1373.81
net32,1370.18
net109,1366.985
_14951_,1360.2
net828,1355.835
_15493_,1354.84
_36573_,1354.745
net131,1354.385
_15709_,1350.97
net51,1350.82
_15044_,1347.67
_15705_,1343.27
net154,1339.755
net104,1337.35
_36976_,1331.52
net204,1323.42
_15054_,1323.19
_13706_,1321.5
_15719_,1317.1
_14959_,1315.54
net116,1312.245
net98,1308.78
net217,1307.7
net185,1305.2
_15046_,1296.945
net228,1295.04
_15491_,1293.86
_13624_,1289.92
net189,1283.08
_14025_,1282.66
_14957_,1281.14
_15487_,1276.84
_13375_,1272.555
net183,1270.2
net62,1260.43
net19,1255.22
_15721_,1254.24
_20952_,1253.755
_15715_,1253.51
_14416_,1251.94
_14953_,1251.57
_13947_,1248.64
net168,1247.74
_37181_,1247.55
_21131_,1245.81
_14262_,1245.53
_37239_,1245.32
_19342_,1243.015
net143,1242.04
net33,1237.85
_14183_,1234.3
_13787_,1234.085
_15042_,1233.62
_14727_,1233.22
_14963_,1233.02
_14104_,1229.32
_15038_,1227.99
_14341_,1227.9
net126,1221.72
net4,1216.02
_20940_,1215.45
net2,1211.47
net759,1210.71
_14967_,1210.7
_19412_,1209.4
net20,1208
net9,1206.25
_20350_,1205.85
_14945_,1204.58
net66,1203.12
_14961_,1202.73
_37767_,1202.21
net132,1201.05
net72,1200.44
net176,1190.98
net37,1189.25
_21193_,1184.96
_14947_,1184.45
net87,1180.83
_14937_,1180.05
_19413_,1177.355
_15473_,1176.63
_20941_,1174.8
net24,1174.48
_36799_,1173.55
net177,1173.54
_36060_,1172.44
_14649_,1169.96
_20938_,1167.17
net201,1166.39
net226,1164.095
net90,1161.44
net179,1154.76
_21152_,1154.25
_13464_,1151.03
net122,1148.35
net264,1147.92
net10,1146.15
net93,1143.86
net88,1143.33
net111,1141.105
_15495_,1138.75
net56,1131.54
_21128_,1131.125
net246,1127.9
net31,1127.435
